geoid,name,state,japanese_pop,total_pop,japanese_pct
25009260900,"Essex County (2609)","Massachusetts",14,5879,0.24
25009250100,"Essex County (2501)","Massachusetts",0,5295,0
25009250900,"Essex County (2509)","Massachusetts",0,2384,0
25009205800,"Essex County (2058)","Massachusetts",0,4005,0
25009209100,"Essex County (2091)","Massachusetts",34,7411,0.46
25009221400,"Essex County (2214)","Massachusetts",0,3921,0
25009202101,"Essex County (2021.01)","Massachusetts",0,2279,0
42001031101,"Adams County (311.01)","Pennsylvania",0,4806,0
46013951600,"Brown County (9516)","South Dakota",0,4847,0
41001950100,"Baker County (9501)","Oregon",0,2893,0
42013100400,"Blair County (1004)","Pennsylvania",0,1726,0
42013100500,"Blair County (1005)","Pennsylvania",8,3330,0.24
42013100800,"Blair County (1008)","Pennsylvania",0,1836,0
42013101900,"Blair County (1019)","Pennsylvania",0,1460,0
47131965600,"Obion County (9656)","Tennessee",0,3581,0
48001950800,"Anderson County (9508)","Texas",0,6187,0
25025010405,"Suffolk County (104.05)","Massachusetts",59,6924,0.85
25025030100,"Suffolk County (301)","Massachusetts",0,1749,0
25025110502,"Suffolk County (1105.02)","Massachusetts",0,4124,0
25025130406,"Suffolk County (1304.06)","Massachusetts",13,5861,0.22
25025060400,"Suffolk County (604)","Massachusetts",0,5695,0
